builder_name,city,completion_year,building_count,buildings
Builder,Chennai," Apr, 2026",2,"Casagrand Linore, Kochar Jewel"
Builder,Chennai," Aug, 2025",1,Chamundeeswary Chang Royale
Builder,Chennai," Dec, 2024",1,Maple Sky Residences at Navins Starwood
Builder,Chennai," Dec, 2025",1,SS Square Swasthika
Builder,Chennai," Dec, 2027 ",1,Purva Soukhyam
Builder,Chennai," Jan, 2024",1,VGN Highland
Builder,Chennai," Jan, 2026",1,Pearl Araliya
Builder,Chennai," Mar, 2024",1,Navins Hanging Gardens
Builder,Chennai," May, 2024",1,Elite Akash Garden Guduvancheri
Builder,Chennai," Nov, 2022",1,CMN Garden Luxury Villas
Builder,Chennai," Oct, 2025",1,Casagrand Cloud9
Builder,Chennai," Sep, 2024",1,Royale Mriga by Thigazhvan Estate
Builder,Chennai," Sep, 2027",1,Casagrand Mercury
Builder,Chennai,"Dec, 2020",1,Navins Starwood Towers 2
Builder,Chennai,"Dec, 2024",1,Risland The Ace
Builder,Chennai,"Dec,2025",1,AlamoXsreal Tuscany
Builder,Chennai,"Jul, 2024",1,Pearl Queens Park
Builder,Chennai,"Jul, 2027",1,Casagrand Suncity
Builder,Chennai,"Jun, 2026",1,Pearl Ishaan
Builder,Chennai,"Jun, 2027",1,MP Golden Heights
Builder,Chennai,"Mar, 2026",1,Tulive Azpire
Builder,Chennai,"Oct, 2025",1,Casagrand Majestica
Builder,Chennai,"Sep, 2025",1,Casagrand Flagship
Builder,ahmedabad," Apr, 2023",1,Ashtvinayak Uptown
Builder,ahmedabad," Dec, 2025",1,Province By Sangath IPL
Builder,ahmedabad," Dec, 2027",2,"The Sovereign, Rameshwar Sky"
Builder,ahmedabad," Dec, 2028",1,Anjney Maruti 360
Builder,ahmedabad," Jun, 2025",1,Suryansh Sanidhya Shivalaya
Builder,ahmedabad," Jun, 2027",1,Shilp Residency
Builder,ahmedabad," Jun, 2030",1,Anamika High Point
Builder,ahmedabad," Mar, 2029",1,Super Shaligram
