name,city,bedroom,status,location,price_range1,bedroom2,price_range2,bedroom3,price_range3,owner,owner_name,sq.ft_min,sq_ft_max,price_per_sqft
M3M Mansion,delhi,3,"Jan,2027","Sector 113, Gurgaon",39900,4,43300,5,5.9,Builder,Sobha Ltd,1800,2500,19.34883721
Ganga Anantam,delhi,3,"Jun,2029","Sector 85, Gurgaon",33100,4,41900,5,6.19,Builder,Tata housing,1800,2500,17.44186047
Godrej Vrikshya,delhi,3,"Mar, 2025","Sector 103, Gurgaon",52500,4,77700,,,Builder,Godrej Properties,2000,2500,28.93333333
Ashiana Amarah,delhi,3,"Jun,2026","Sector 93, Gurgaon",25000,4,37300,,,Builder,Godrej Properties,1600,2500,15.19512195
Signature Global Daxin Vistas,delhi,3,"Jun,2010","Sohna, Gurgaon",19500,,32032.6087,,,Builder,Tata housing,1500,1834.765625,13
Keystone Seasons,delhi,3,"May,2025","Sector 77, Gurgaon",30000,4,39300,,,Builder,Emaar India,1350,1834.765625,22.22222222
M3M Antalya Hills,delhi,2,"Mar,2023","Sector 79, Gurgaon",17100,4,30800,,,Builder,Emaar India,1050,1834.765625,16.28571429
Smartworld One DXP,delhi,2,"Nov,2023","Sector 113, Gurgaon",35800,3,53000,,,Builder,Unitech Group,1200,1800,29.6
Elite X,delhi,3,"May,2025","Sector 10 Greater Noida West, Greater Noida",18500,3,37900,4,6.79,Builder,Omaxe Ltd,1500,2500,14.1
Signature Global Titanium SPR,delhi,3,"Jun,2027","Sector 71, Gurgaon",50000,4,66100,,,Builder,Godrej Properties,2000,1834.765625,25
Silverglades The Legacy,delhi,3,"Aug, 2026","Sector 63A, Gurgaon",64400,4,102000,5,14.91,Builder,Sobha Ltd,2200,1834.765625,29.27272727
Eldeco La Vida Bella,delhi,2,"Dec,2025","Greater Noida West, Greater Noida",14300,3,25000,5,3.96,Builder,Godrej Properties,1200,1834.765625,11.91666667
Tulip Crimson,delhi,4,"Jul,2025","Sector 70, Gurgaon",100000,3,19900,,,Builder,Omaxe Ltd,3000,1834.765625,33.33333333
Sam Palm Olympia Phase 2,delhi,2,"Jan,2026","Sector 16C, Greater Noida",9400,3,19900,,,Builder,Omaxe Ltd,1200,1834.765625,7.833333333
Experion Elements,delhi,3,"Jun,2027","Sector 45, Noida",49600,4,59300,,,Builder,Tata Housing,1800,1834.765625,27.55555556
M3M Altitude,delhi,4,"Jan, 2027","Sector 65, Gurgaon",87200,5,100300,,,Builder,Unitech Group,3000,1834.765625,29.06666667
Conscient Parq,delhi,3,"Dec,2024","Sector 80, Gurgaon",32000,4,55800,,,Builder,Sobha Ltd,1500,1834.765625,21.33333333
Gaur NYC Residences,delhi,4,"Dec,2025","Wave City, Ghaziabad",22100,5,50000,,,Builder,Tata housing,2500,1834.765625,8.84
ATS Sanctuary 105,delhi,3,"Jun,2025","Sector 105, Gurgaon",24000,4,36400,,,Builder,Emaar India,1500,1834.765625,16
Sobha Altus,delhi,3,"Mar,2025","Sector 106, Gurgaon",16300,4,86100,,,Builder,Emaar India,1800,1834.765625,9.055555556
Master Orchard Estate,kolkata,2,"Dec, 2020","Madhyamgram, Kolkata",4500,3,6100,,,Builder,Master Properties,1000,1200,4.818181818
Merlin Rise,kolkata,2,"Dec, 2027","Rajarhat, Kolkata",5500,3,32032.6087,,,Builder,Merlin Group,1000,1200,5.5
Merlin Serenia,kolkata,2,"Jun, 2029","BT Road, Kolkata",6400,3,10300,4,1.43,Builder,Merlin Group,1200,1500,6.185185185
Joyville Western Height,kolkata,2,"Mar, 2025","Santragachi, Kolkata",4400,3,32032.6087,,,Builder,Joyville by Shapoorji Pallonji,1200,1500,3.666666667
