NAME,LOCATION,PRICE RANGE1,BEDROOM,Status,Status1,CITY
M3M Mansion,"Sector 113, Gurgaon",₹ 3.99 - 15 Cr,"3, 4, 5 BHK Apartment",6.90%, price increase in last 3 months in ,delhi
Ganga Anantam,"Sector 85, Gurgaon",₹ 3.31 - 6.19 Cr,"3, 4 BHK Apartment",5.60%, price increase in last 3 months in ,delhi
Godrej Vrikshya,"Sector 103, Gurgaon",₹ 5.25 - 7.77 Cr,"3, 4 BHK Apartment",23.80%, price increase in last 1 year in ,delhi
Ashiana Amarah,"Sector 93, Gurgaon",₹ 2.5 - 3.73 Cr,"3, 4 BHK Apartment",28.00%, price increase in last 3 months in ,delhi
Signature Global Daxin Vistas,"Sohna, Gurgaon",₹ 1.95 Cr,3 BHK Independent Floor,8.20%, price increase in last 3 months in ,delhi
Keystone Seasons,"Sector 77, Gurgaon",₹ 3 - 3.93 Cr,"3, 4 BHK Apartment",39.30%, price increase in last 1 year in ,delhi
M3M Antalya Hills,"Sector 79, Gurgaon",₹ 1.71 - 3.08 Cr,"2, 3 BHK Independent Floor",8.00%, price increase in last 3 months in ,delhi
Smartworld One DXP,"Sector 113, Gurgaon",₹ 3.58 - 6.79 Cr,"2, 3, 4 BHK Apartment",6.90%, price increase in last 3 months in ,delhi
Elite X,"Sector 10 Greater Noida West, Greater Noida",₹ 1.85 - 2.97 Cr,"3, 4 BHK Apartment",5.10%, price increase in last 3 months in ,delhi
Signature Global Titanium SPR,"Sector 71, Gurgaon",₹ 5 - 6.61 Cr,"3, 4 BHK Apartment",5.50%, price increase in last 3 months in ,delhi
Silverglades The Legacy,"Sector 63A, Gurgaon",₹ 6.44 - 14.91 Cr,"3, 4, 5 BHK Apartment",16.80%, price increase in last 3 months in ,delhi
Eldeco La Vida Bella,"Greater Noida West, Greater Noida",₹ 1.43 - 3.96 Cr,"2, 3, 4 BHK Apartment",9.20%, price increase in last 3 months in ,delhi
Tulip Crimson,"Sector 70, Gurgaon",Price on Request,4 BHK Apartment,7.30%, price increase in last 3 months in ,delhi
Sam Palm Olympia Phase 2,"Sector 16C, Greater Noida",₹ 94.56 L - 1.99 Cr,"2, 3 BHK Apartment",15.10%, price increase in last 3 months in ,delhi
Experion Elements,"Sector 45, Noida",₹ 4.96 - 5.93 Cr,"3, 4 BHK Apartment",34.20%, price increase in last 3 months in ,delhi
M3M Altitude,"Sector 65, Gurgaon",₹ 8.72 - 10.03 Cr,4 BHK Apartment,5.40%, price increase in last 3 months in ,delhi
Conscient Parq,"Sector 80, Gurgaon",₹ 3.2 - 5.58 Cr,"3, 4 BHK Apartment",169.10%, price increase in last 5 years in ,delhi
Gaur NYC Residences,"Wave City, Ghaziabad",₹ 2.21 - 5 Cr,4 BHK Apartment,34.80%, price increase in last 3 months in ,delhi
ATS Sanctuary 105,"Sector 105, Gurgaon",₹ 2.4 - 3.64 Cr,"3, 4 BHK Apartment",9.60%, price increase in last 3 months in ,delhi
Sobha Altus,"Sector 106, Gurgaon",₹ 1.63 - 8.61 Cr,"3, 4 BHK Apartment | 1 RK Studio Apartment",77.00%, price increase in last 3 months in ,delhi
