NAME,CITY,BEDROOM,STATUS,LOCATION,PRICE RANGE1,BEDROOM2,PRICE RANGE2,BEDROOM3,PRICE RANGE3,OWNER,OWNER NAME,SQ.FT min,SQ FT max
M3M Mansion,delhi,3,"Jan,2027","Sector 113, Gurgaon",3.99,4,4.33,5,5.9,Builder,Sobha Ltd,1800,2500
Ganga Anantam,delhi,3,"Jun,2029","Sector 85, Gurgaon",3.31,4,4.19,5,6.19,Builder,Tata housing,1800,2500
Godrej Vrikshya,delhi,3,"Mar, 2025","Sector 103, Gurgaon",5.25,4,7.77,,,Builder,Godrej Properties,2000,2500
Ashiana Amarah,delhi,3,"Jun,2026","Sector 93, Gurgaon",2.5,4,3.73,,,Builder,Godrej Properties,1600,2500
Signature Global Daxin Vistas,delhi,3,"Jun,2010","Sohna, Gurgaon",1.95,,,,,Builder,Tata housing,1500,
Keystone Seasons,delhi,3,"May,2025","Sector 77, Gurgaon",3,4,3.93,,,Builder,Emaar India,1350,
M3M Antalya Hills,delhi,2,"Mar,2023","Sector 79, Gurgaon",1.71,4,3.08,,,Builder,Emaar India,1050,
Smartworld One DXP,delhi,2,"Nov,2023","Sector 113, Gurgaon",3.58,3,5.3,,,Builder,Unitech Group,1200,1800
Elite X,delhi,3,"May,2025","Sector 10 Greater Noida West, Greater Noida",1.85,3,3.79,4,6.79,Builder,Omaxe Ltd,1500,2500
Signature Global Titanium SPR,delhi,3,"Jun,2027","Sector 71, Gurgaon",5,4,6.61,,,Builder,Godrej Properties,2000,
Silverglades The Legacy,delhi,3,"Aug, 2026","Sector 63A, Gurgaon",6.44,4,10.2,5,14.91,Builder,Sobha Ltd,2200,
Eldeco La Vida Bella,delhi,2,"Dec,2025","Greater Noida West, Greater Noida",1.43,3,2.5,5,3.96,Builder,Godrej Properties,1200,
Tulip Crimson,delhi,4,"Jul,2025","Sector 70, Gurgaon",10,3,1.99,,,Builder,Omaxe Ltd,3000,
Sam Palm Olympia Phase 2,delhi,2,"Jan,2026","Sector 16C, Greater Noida",0.94,3,1.99,,,Builder,Omaxe Ltd,1200,
Experion Elements,delhi,3,"Jun,2027","Sector 45, Noida",4.96,4,5.93,,,Builder,Tata Housing,1800,
M3M Altitude,delhi,4,"Jan, 2027","Sector 65, Gurgaon",8.72,5,10.03,,,Builder,Unitech Group,3000,
Conscient Parq,delhi,3,"Dec,2024","Sector 80, Gurgaon",3.2,4,5.58,,,Builder,Sobha Ltd,1500,
Gaur NYC Residences,delhi,4,"Dec,2025","Wave City, Ghaziabad",2.21,5,5,,,Builder,Tata housing,2500,
ATS Sanctuary 105,delhi,3,"Jun,2025","Sector 105, Gurgaon",2.4,4,3.64,,,Builder,Emaar India,1500,
Sobha Altus,delhi,3,"Mar,2025","Sector 106, Gurgaon",1.63,4,8.61,,,Builder,Emaar India,1800,
Master Orchard Estate,kolkata,2,"Dec, 2020","Madhyamgram, Kolkata",0.45,3,0.61,,,Builder,Master Properties,1000,1200
Merlin Rise,kolkata,2," Dec, 2027","Rajarhat, Kolkata",0.55,3,0. 83,,,Builder,Merlin Group,1000,1200
Merlin Serenia,kolkata,2," Jun, 2029","BT Road, Kolkata",0.64,3,1.03,4,1.43,Builder,Merlin Group,1200,1500
Joyville Western Height,kolkata,2,"Mar, 2025","Santragachi, Kolkata",0.44,3,0. 62,,,Builder,Joyville by Shapoorji Pallonji,1200,1500
DTC Sojon,kolkata,2,"Dec, 2027","Joka, Kolkata",0.52,3,0.8,4,1,Builder,DTC Developer,1000,1600
GPS Meena Maple Phase 1,kolkata,2,"Jan, 2027","New Town, Kolkata",0.37,,,,,Builder,GPS Group,800,
DTC Capital City,kolkata,2," Dec, 2027 ","Rajarhat, Kolkata",0.45,3,0.79,4,1.05,Builder,DTC Developer,1000,1500
JCSV Pride,kolkata,2," Aug, 2024","8th Phase JP Nagar, Bangalore",0.89,3,1.56,,,Builder,JCSV Builders,1200,1400
Cellesta,kolkata,3,"Jun, 2030","Lake Town, Kolkata",1.5,4,1.89,,,Builder,Shriji,2000,2200
Merlin Avana,kolkata,2,"Dec, 2027","Tollygunge, Kolkata",0.65,3,1.35,4,1.52,Builder,Merlin Group,1200,1600
Elevate Godrej Se7en,kolkata,2,"Oct, 2025 ","Joka, Kolkata",1.23,3,2.08,,,Builder,Godrej Properties,1000,1200
Siddha Serena,kolkata,2," Dec, 2028","New Town, Kolkata",0.92,3,1.25,4,1.6,Builder,Siddha Group,1200,1600
Vinayak Amara,kolkata,3," Jul, 2029","New Town, Kolkata",1.55,4,2.06,,,Builder,Vinayak Group Kolkata,1200,1500
Urban Vista Phase 1,kolkata,2," Dec, 2026","Rajarhat, Kolkata",0.73,3,0.77,,,Builder,Loharuka Group,1000,1200
Bhawani Porshi Nagar Uttarpara,kolkata,1," Dec, 2028","Konnagar, Kolkata",0.2,2,0.38,3,0.53,Builder,Bhawani Group,800,1000
Merlin Oikyo,kolkata,1," Dec, 2025","Baruipur, EM Bypass",0.1,2,0.27,3,0.4,Builder,Merlin Group,800,1000
Merlin Isle,kolkata,2,"Dec, 2027","Picnic Garden, EM Bypass",0.8,3,1.02,,,Builder,Merlin Group,800,1000
Eden Roopkatha,kolkata,1," Jun, 2028","Baruipur, EM Bypass",0.19,2,0.3,3,0.39,Builder,Eden Group,600,800
Swayam City,kolkata,1," Dec, 2024","Joka, Kolkata",0.19,2,0.27,3,0.38,Builder,New Age Nirman,600,800
Belani Zest,kolkata,2," Mar, 2025","Rajarhat, Kolkata",0.84,3,1.11,,,Builder,Belani Group,800,1000
Rishi Ventoso Phase 2,kolkata,2,"Mar, 2029","Madhyamgram, Kolkata",0.59,3,0.8,,,Builder,Rishi Group,800,1000
Magnolia Vishnupriya,kolkata,2,"Dec, 2026","Baruipur, EM Bypass",0.35,3,0.45,,,Builder,Magnolia Infrastructure Development,500,800
Southern Woods,kolkata,2,"Oct, 2026","Garia, Kolkata",0.77,3,0.91,,,Builder,Lumberman Wood,800,1000
Natural City Madhyamgram,kolkata,2,"Mar, 2029","Madhyamgram, Kolkata",0.43,3,0.56,4,0.7,Builder,Natural Group,800,1000
Bhawani Inara,kolkata,2," Dec, 2026","Rajarhat, Kolkata",1.6,4,2.03,,,Builder,Bhawani Group,1000,1200
Aadhya Arambh,ahmedabad,2,"Dec, 2026","Ghatlodia, Ahmedabad",1.35,,,,,Builder,Shikhar Projects,1000,
Shivalaya 24,ahmedabad,3,"Nov, 2025","Chandkheda, Ahmedabad",1.27,,,,,Builder,Neeldev Buildcon,950,
The Golden County,ahmedabad,2,"Since Jun, 2022","Greater Thol, Rancharda, Ahmedabad",2.38,,,,,Builder,The Golden County,1200,
Karmabhumi 1,ahmedabad,2,"Since Jan, 2012","Rancharda, Ahmedabad",2.64,,,,,Builder,Karmabhumi,1300,
The Sovereign,ahmedabad,4," Dec, 2027","Thaltej Shilaj Road, Ahmedabad",4.3,,,,,Builder,Ashima Limited,2000,
Tulsi Paradise,ahmedabad,3,"May, 2025","Motera, Ahmedabad",0.71,,,,,Builder,Shyam Group Motera Ahmedabad,900,
Vandematram Sky 100,ahmedabad,3," May, 2026","Thaltej, Ahmedabad",1.63,,,,,Builder,Vandematram Infra,1100,
